"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"21-0005734","0","02/01/2021","00:06:39","700 ","False alarm or false call, Other                  ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","511 ","Convenience store                                 ","673     ","E ","BROADWAY                 ","  ","    ","                                        ","  ","                         ","  ","    "
"21-0005736","0","02/01/2021","00:16:08","522 ","Water or steam leak                               ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","429 ","Multifamily dwelling                              ","2       ","  ","HORACE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005738","0","02/01/2021","00:20:56","700 ","False alarm or false call, Other                  ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","213 ","Elementary school, including kindergarten         ","650     ","E ","FOURTH                   ","  ","ST  ",": #12-7433                              ","  ","                         ","  ","    "
"21-0005741","0","02/01/2021","01:31:43","715 ","Local alarm system, malicious false alarm         ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","1       ","  ","ASPINWALL                ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0005742","0","02/01/2021","01:38:20","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","460 ","Dormitory-type residence, other                   ","102-118 ","  ","BEACON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005743","0","02/01/2021","02:05:52","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","RX             ","Roxbury                                           ","02120     ","429 ","Multifamily dwelling                              ","10      ","  ","HAMMOND                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005745","0","02/01/2021","02:07:37","522 ","Water or steam leak                               ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02120     ","215 ","High school/junior high school/middle school      ","67      ","  ","ALLEGHANY                ","  ","ST  ",": #12-2367                              ","  ","                         ","  ","    "
"21-0005746","0","02/01/2021","02:18:38","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","464 ","Barracks, dormitory                               ","119     ","  ","HEMENWAY                 ","  ","ST  ",": @COL-NEU-KENNEDY HALL                 ","  ","                         ","  ","    "
"21-0005747","0","02/01/2021","02:23:51","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","17      ","  ","BRONSDON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005748","0","02/01/2021","03:00:57","553 ","Public service                                    ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","960 ","Street, Other                                     ","280     ","  ","MARTIN LUTHER KING JR    ","  ","BLVD","                                        ","  ","                         ","  ","    "
